id_cluster,judul,ringkasan,sektor_ai,risiko_ai,sektor_benar,risiko_benar
2589,Pengeroyokan Maut di Tempat Biliar Jakbar: Korban Sengaja Dilempar dari Lantai 2,"Pengeroyokan maut terjadi di tempat biliar Weston, Grogol, Jakarta Barat, pada 10 Mei 2026. Korban, Diko Milandika (28), sengaja dilempar dari lantai 2 oleh pelaku karena motif balas dendam. Polisi telah mengamankan 3 pelaku utama dan masih memburu 5 pelaku lainnya, termasuk pelaku utama yang melemp",Ekonomi & bisnis;Hukum & keamanan;Sosial & masyarakat,Tinggi,,
252,Italia Siapkan Kapal Penyapu Ranjau untuk Selat Hormuz,Pemerintah Italia mengumumkan rencana untuk mengirim dua kapal penyapu ranjau ke Selat Hormuz sebagai bagian dari misi internasional jika tercapai gencatan senjata permanen di kawasan tersebut. Italia juga akan menggunakan skuad U-21 untuk pertandingan persahabatan melawan Luksemburg dan Yunani. Int,Ekonomi & bisnis;Hukum & keamanan;Politik & pemerintahan,Tinggi,,
2571,Pemerintah Siap Mengurangi Anggaran Program Makan Bergizi Gratis,Pemerintah siap mengurangi anggaran Program Makan Bergizi Gratis (MBG) karena adanya evaluasi pelaksanaan program tersebut. Menteri Sekretaris Negara Prasetyo Hadi mengatakan bahwa akan ada pengurangan kebutuhan anggaran dari program MBG. Pemerintah juga melakukan penataan ulang atau refocusing pene,Ekonomi & bisnis;Politik & pemerintahan;Sosial & masyarakat,Tinggi,,
2565,"Pemadaman Listrik di Jawa Akibat Gangguan Teknis, Bahlil Bantah Kelangkaan Batu Bara","Pemadaman listrik bergilir terjadi di beberapa wilayah di Jawa, termasuk Jakarta dan Bandung, karena gangguan teknis pada mesin pembangkit. Menteri Energi dan Sumber Daya Mineral Bahlil Lahadalia membantah bahwa kelangkaan batu bara menyebabkan pemadaman listrik. Ia mengatakan bahwa pemerintah telah",Ekonomi & bisnis;Energi & lingkungan;Politik & pemerintahan,Tinggi,,
2584,Timnas U-19 Indonesia Imbang Lawan Australia di Babak Pertama Piala AFF U-19 2026,"Timnas U-19 Indonesia bermain imbang 0-0 melawan Australia di babak pertama semifinal Piala AFF U-19 2026. Pertandingan berlangsung alot di Stadion Utama Sumatera Utara, Deli Serdang, Kamis (11/6/2026). Timnas U-19 Indonesia bermain solid dalam bertahan, sementara Australia coba menekan dengan tekan",Ekonomi & bisnis;Olahraga & hiburan;Politik & pemerintahan,Tinggi,,
2526,"Perang Iran-Amerika Meluas, Drone Hantam Bahrain dan Rusia","Perang Iran-Amerika meluas ke Bahrain dan Rusia. Drone Iran menghantam apartemen di Rusia dan rumah di Bahrain, menyebabkan korban. Sementara itu, Amerika Serikat menembak jatuh dua drone Iran di Selat Hormuz.",Ekonomi & bisnis;Energi & lingkungan;Hukum & keamanan,Tinggi,,
2104,Veda Ega Pratama Menghadapi Tantangan di Moto3 Hungaria 2026,Veda Ega Pratama akan memulai balapan Moto3 Hungaria 2026 dari posisi kesembilan. Ia harus menjalani hukuman long lap penalty dan berjuang untuk memperbaiki posisi. Veda Ega saat ini bertengger di posisi ketiga klasemen Moto3 2026.,Ekonomi & bisnis;Olahraga & hiburan;Teknologi,Tinggi,,
2174,Indonesia U-19 Menghadapi Tantangan Besar di Piala AFF U-19 2026,Timnas Indonesia U-19 akan menghadapi Vietnam dalam laga penentuan Grup A Piala AFF U-19 2026. Vietnam memuncaki klasemen sementara dan hanya memerlukan hasil imbang untuk lolos ke babak semifinal. Indonesia wajib memenangkan pertandingan untuk mengamankan posisi juara grup dan menghindari risiko me,Ekonomi & bisnis;Hubungan internasional;Olahraga & hiburan,Tinggi,,
2534,Gilberto Mora Mencatatkan Sejarah di Piala Dunia 2026,"Gilberto Mora, pemain termuda Meksiko, mencatatkan sejarah di Piala Dunia 2026 dengan menjadi pemain termuda yang bermain di pertandingan pembuka. Ia berusia 17 tahun 240 hari saat melakoni debutnya di turnamen. Meksiko berhasil mengalahkan Afrika Selatan 2-0 di Stadion Azteca, Mexico City, Jumat (1",Ekonomi & bisnis;Hubungan internasional;Olahraga & hiburan,Tinggi,,
162,Pemerintah Indonesia Berkomitmen Meningkatkan Kualitas Hidup Masyarakat,"Pemerintah Indonesia terus berkomitmen meningkatkan kualitas hidup masyarakat melalui berbagai program, seperti Program Makan Bergizi Gratis (MBG) yang telah mencapai 61,9 juta penerima, dan pengembangan klasterisasi usaha berbasis potensi lokal di Kabupaten Ngada, Nusa Tenggara Timur. Selain itu, p",Ekonomi & bisnis;Kesehatan;Sosial & masyarakat,Rendah,,
